#Hidden Layers, Hidden Layer Size, Reguralization Constant, #Epoch,Training Accuracy,Test Accuracy
2,100,0.01,40,42.2471910112,23.4693877551
2,250,0.01,40,52.5842696629,37.7551020408
2,500,0.01,40,65.0561797753,36.7346938776
2,1000,0.01,40,73.9325842697,51.0204081633
2,2500,0.01,40,67.191011236,37.7551020408
2,2500,0.03,40,72.9213483146,35.7142857143
3,100,0.1,40,33.595505618,27.5510204082
3,250,0.1,40,50.5617977528,30.612244898
3,500,0.1,40,56.8539325843,39.7959183673
3,1000,0.1,40,68.4269662921,51.0204081633
3,2500,0.1,40,71.6853932584,43.8775510204
3,2500,0.3,40,55.8426966292,37.7551020408